Buggy Code,Fixed Code,Bug Type,Severity,Frequency,Programming Language
console.log('Hello'),console.log('Hello');,SyntaxError,High,359,JavaScript
printf('Hello'),printf('Hello');,TypeError,Low,150,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,164,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Low,387,Python
printf('Hello'),printf('Hello');,AttributeError,Critical,460,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,373,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Low,442,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Critical,78,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,High,468,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Low,319,Java
printf('Hello'),printf('Hello');,AttributeError,Critical,355,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Low,298,Python
console.log('Hello'),console.log('Hello');,IndentationError,Medium,487,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,High,405,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Medium,481,Python
console.log('Hello'),console.log('Hello');,SyntaxError,High,57,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Medium,300,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,98,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Medium,89,Python
printf('Hello'),printf('Hello');,IndexError,Low,473,C
printf('Hello'),printf('Hello');,LogicalError,High,284,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,High,198,Python
printf('Hello'),printf('Hello');,IndexError,Critical,245,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Critical,82,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,High,386,Python
printf('Hello'),printf('Hello');,LogicalError,Critical,147,C
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Critical,416,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Critical,96,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Critical,80,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,High,273,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Low,212,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Low,374,Python
printf('Hello'),printf('Hello');,IndexError,High,325,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Critical,233,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Medium,450,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Critical,169,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Critical,379,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,High,410,Python
console.log('Hello'),console.log('Hello');,IndexError,Medium,121,JavaScript
printf('Hello'),printf('Hello');,SyntaxError,Critical,370,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Low,340,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Critical,230,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Low,308,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,High,491,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Critical,124,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,High,115,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,High,234,Python
printf('Hello'),printf('Hello');,NameError,Low,214,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Critical,58,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Medium,91,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,Medium,221,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,260,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Low,294,C++
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Low,138,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,High,447,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Low,323,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,321,Python
printf('Hello'),printf('Hello');,LogicalError,Critical,181,C
console.log('Hello'),console.log('Hello');,AttributeError,Critical,134,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Critical,318,Python
console.log('Hello'),console.log('Hello');,NameError,High,460,JavaScript
console.log('Hello'),console.log('Hello');,AttributeError,Low,240,JavaScript
for i in range(10) print(i),for i in range(10): print(i),NameError,Medium,479,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Low,240,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Critical,136,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,Critical,253,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,High,498,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Critical,76,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Medium,416,Python
printf('Hello'),printf('Hello');,LogicalError,Critical,410,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,332,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,High,287,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Low,443,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Low,143,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Critical,383,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Low,157,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Critical,389,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,High,102,C++
console.log('Hello'),console.log('Hello');,NameError,Low,402,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Medium,338,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,High,476,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,High,367,Java
printf('Hello'),printf('Hello');,SyntaxError,Medium,173,C
console.log('Hello'),console.log('Hello');,NameError,Critical,89,JavaScript
console.log('Hello'),console.log('Hello');,IndentationError,Critical,470,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Medium,190,Python
printf('Hello'),printf('Hello');,NameError,High,465,C
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Medium,361,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Low,379,Java
console.log('Hello'),console.log('Hello');,TypeError,High,190,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Critical,305,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Critical,295,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Medium,479,Java
printf('Hello'),printf('Hello');,IndentationError,Medium,479,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Low,314,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Medium,173,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Critical,317,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,High,181,Python
console.log('Hello'),console.log('Hello');,TypeError,Medium,191,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,High,220,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Low,185,C++
console.log('Hello'),console.log('Hello');,AttributeError,Low,157,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,118,Python
printf('Hello'),printf('Hello');,AttributeError,Critical,213,C
console.log('Hello'),console.log('Hello');,NameError,Low,161,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Critical,153,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,High,77,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Critical,426,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,High,440,Java
console.log('Hello'),console.log('Hello');,IndentationError,High,376,JavaScript
console.log('Hello'),console.log('Hello');,SyntaxError,High,365,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,310,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Low,71,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Critical,346,Python
printf('Hello'),printf('Hello');,NameError,Medium,355,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,High,145,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,High,270,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,High,353,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,High,211,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Medium,367,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Critical,159,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,High,331,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,High,323,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,350,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,High,274,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,High,404,Python
printf('Hello'),printf('Hello');,IndentationError,Critical,157,C
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Critical,191,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,High,79,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Low,159,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,High,287,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Low,143,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Critical,184,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Critical,102,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Low,205,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,High,485,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,High,78,Python
console.log('Hello'),console.log('Hello');,NameError,Medium,121,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,High,395,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Medium,389,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Medium,395,Python
console.log('Hello'),console.log('Hello');,IndexError,Medium,403,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,High,112,Java
console.log('Hello'),console.log('Hello');,IndexError,Low,134,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Low,66,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,High,306,Python
printf('Hello'),printf('Hello');,IndexError,Critical,309,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Medium,460,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,321,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,High,175,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,High,120,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Critical,165,Java
printf('Hello'),printf('Hello');,SyntaxError,Low,397,C
for i in range(10) print(i),for i in range(10): print(i),NameError,Medium,120,Python
console.log('Hello'),console.log('Hello');,IndentationError,Critical,193,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,Critical,206,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Critical,174,Java
for i in range(10) print(i),for i in range(10): print(i),LogicalError,High,191,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,405,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Low,173,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Low,156,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Medium,260,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,314,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Low,249,C++
console.log('Hello'),console.log('Hello');,IndentationError,Critical,322,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Low,337,Python
printf('Hello'),printf('Hello');,NameError,Low,482,C
console.log('Hello'),console.log('Hello');,IndentationError,Critical,231,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Low,190,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,High,70,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Low,151,C++
printf('Hello'),printf('Hello');,AttributeError,High,342,C
console.log('Hello'),console.log('Hello');,LogicalError,High,498,JavaScript
for i in range(10) print(i),for i in range(10): print(i),TypeError,High,330,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Low,480,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Low,76,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,63,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,High,203,Python
printf('Hello'),printf('Hello');,TypeError,Low,432,C
console.log('Hello'),console.log('Hello');,SyntaxError,Low,230,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Medium,458,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,430,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Critical,405,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,High,352,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Low,226,Java
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Low,341,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Medium,104,Java
console.log('Hello'),console.log('Hello');,SyntaxError,Medium,464,JavaScript
console.log('Hello'),console.log('Hello');,IndentationError,Medium,463,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Medium,417,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Medium,188,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Critical,82,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Low,333,Java
console.log('Hello'),console.log('Hello');,SyntaxError,High,432,JavaScript
console.log('Hello'),console.log('Hello');,TypeError,Medium,68,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,High,216,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Low,287,Python
console.log('Hello'),console.log('Hello');,IndexError,Medium,281,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,High,277,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,383,C++
for i in range(10) print(i),for i in range(10): print(i),NameError,High,197,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Low,384,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,465,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Low,98,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Medium,230,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,260,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,High,248,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,High,383,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,493,Java
console.log('Hello'),console.log('Hello');,LogicalError,Medium,130,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Low,473,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Critical,236,Python
console.log('Hello'),console.log('Hello');,AttributeError,Low,313,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Critical,487,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Medium,61,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,High,497,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Low,140,Java
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,225,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Medium,495,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Medium,250,Python
printf('Hello'),printf('Hello');,AttributeError,High,156,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Critical,345,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,High,452,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Medium,470,Java
console.log('Hello'),console.log('Hello');,IndentationError,Low,393,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Critical,79,Python
console.log('Hello'),console.log('Hello');,TypeError,Critical,424,JavaScript
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Medium,361,Python
console.log('Hello'),console.log('Hello');,TypeError,Low,450,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Low,132,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,High,147,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,High,184,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,High,111,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Critical,153,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Medium,315,Java
console.log('Hello'),console.log('Hello');,SyntaxError,Low,460,JavaScript
for i in range(10) print(i),for i in range(10): print(i),IndexError,Low,312,Python
printf('Hello'),printf('Hello');,IndexError,Low,377,C
console.log('Hello'),console.log('Hello');,TypeError,Critical,135,JavaScript
printf('Hello'),printf('Hello');,IndexError,High,295,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Critical,303,Python
console.log('Hello'),console.log('Hello');,AttributeError,Low,414,JavaScript
for i in range(10) print(i),for i in range(10): print(i),TypeError,Critical,329,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Medium,218,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Medium,68,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Critical,328,Python
printf('Hello'),printf('Hello');,IndexError,Medium,184,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Low,396,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Low,442,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Medium,330,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,195,C++
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Low,72,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,240,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Low,58,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Critical,290,Python
console.log('Hello'),console.log('Hello');,AttributeError,Critical,135,JavaScript
printf('Hello'),printf('Hello');,NameError,High,91,C
console.log('Hello'),console.log('Hello');,IndexError,Low,85,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Critical,443,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Medium,278,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Medium,90,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,High,499,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Medium,91,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Low,62,C++
console.log('Hello'),console.log('Hello');,SyntaxError,Low,389,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Medium,476,Java
console.log('Hello'),console.log('Hello');,AttributeError,High,392,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Medium,239,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Medium,354,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Low,317,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Medium,354,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,240,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Critical,447,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,High,309,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Low,359,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,High,123,Python
console.log('Hello'),console.log('Hello');,IndentationError,Low,411,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,High,475,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,High,221,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Medium,52,C++
console.log('Hello'),console.log('Hello');,IndexError,Low,450,JavaScript
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Low,210,Python
printf('Hello'),printf('Hello');,IndentationError,High,445,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Critical,434,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Low,393,C++
console.log('Hello'),console.log('Hello');,AttributeError,Low,384,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,498,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,High,278,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,High,395,Java
printf('Hello'),printf('Hello');,IndentationError,Medium,68,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,High,474,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,High,210,Java
